"Comment","Designator","Footprint","LCSC Part #"
"2.2uF","C1,C2,C3,C4,C23","C_0603_1608Metric","C23630"
"1uF","C5,C19,C21,C8,C13,C16,C17,C18,C22,C79,C80,C81,C82,C83","C_0402_1005Metric","C52923"
"10uF","C6,C28,C29","C_0402_1005Metric","C105884"
"0.1uF","C10,C35,C31,C32,C65,C7,C9,C11,C12,C14,C15,C24,C26,C33","C_0402_1005Metric","C1525"
"4.7uF","C20,C27","C_0402_1005Metric","C326586"
"10pF","C25","C_0201_0603Metric","C526922"
"1uF","C34,C36,C37","C_0201_0603Metric","C87143"
"LED 0402 RED","D1,D2","LED_0402_1005Metric","C965790"
"ECP5-BGA256","IC1","lattice_cabga256","C1550826"
"2.2uH","L1","L_0805_2012Metric","C216156"
"10k","R1","R_0201_0603Metric","C106225"
"100k","R2","R_0201_0603Metric","C106224"
"120k","R3","R_0201_0603Metric","C274344"
"2.2k","R5","R_0402_1005Metric","C25879"
"5.1k","R6,R13,R109","R_0402_1005Metric","C25905"
"8.06k","R7","R_0201_0603Metric","C516470"
"20K","R8","R_0402_1005Metric","C93942"
"27R","R9,R10","R_0201_0603Metric","C270320"
"100R","R11,R15","R_0402_1005Metric","C25076"
"330","R12,R14","R_0402_1005Metric","C25104"
"0R","R16","R_0201_0603Metric","C473473"
"330","R108","R_0201_0603Metric","C274872"
"10k","R110","R_0402_1005Metric","C25744"
"TLV62569ADRLR","U1","SOT-563","C398367"
"NCP115-2.5","U2","Texas_X2SON-4_1x1mm_P0.65mm","C892044"
"USB3343","U3","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm","C633347"
"W25Q128JVP","U7","WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4mm","C190862"
"HyperRAM","U10","BGA-24_5x5_6.0x8.0mm","C7428856"
"Osc48MHz","Y1","Crystal_SMD_3225-4Pin_3.2x2.5mm","C669070"
