Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,2.2uF,C_0603_1608Metric,125.900000,-83.700000,90.000000,bottom
C2,2.2uF,C_0603_1608Metric,125.000000,-96.500000,270.000000,bottom
C3,2.2uF,C_0603_1608Metric,125.050000,-87.900000,90.000000,bottom
C4,2.2uF,C_0603_1608Metric,140.500000,-97.000000,270.000000,bottom
C5,1uF,C_0402_1005Metric,140.623469,-90.727100,0.000000,bottom
C6,10uF,C_0402_1005Metric,126.399552,-96.462800,270.000000,bottom
C7,0.1uF,C_0402_1005Metric,132.700000,-90.000000,270.000000,bottom
C8,1uF,C_0402_1005Metric,129.300000,-89.600000,0.000000,bottom
C9,0.1uF,C_0402_1005Metric,132.600000,-93.100000,90.000000,bottom
C10,0.1uF,C_0402_1005Metric,144.687944,-94.500000,180.000000,bottom
C11,0.1uF,C_0402_1005Metric,131.200000,-89.000000,90.000000,bottom
C12,0.1uF,C_0402_1005Metric,135.599552,-90.422748,180.000000,bottom
C13,1uF,C_0402_1005Metric,131.600000,-93.100000,90.000000,bottom
C14,0.1uF,C_0402_1005Metric,131.600000,-94.500000,180.000000,bottom
C15,0.1uF,C_0402_1005Metric,134.900000,-93.500000,180.000000,bottom
C16,1uF,C_0402_1005Metric,129.500000,-91.000000,90.000000,bottom
C17,1uF,C_0402_1005Metric,131.600000,-90.900000,270.000000,bottom
C18,1uF,C_0402_1005Metric,133.800000,-94.500000,0.000000,bottom
C19,1uF,C_0402_1005Metric,133.700000,-91.600000,90.000000,bottom
C20,4.7uF,C_0402_1005Metric,138.003059,-90.416179,180.000000,bottom
C21,1uF,C_0402_1005Metric,145.147795,-91.925036,90.000000,bottom
C22,1uF,C_0402_1005Metric,135.100000,-87.700000,90.000000,bottom
C23,2.2uF,C_0603_1608Metric,138.229552,-94.472800,0.000000,bottom
C24,0.1uF,C_0402_1005Metric,130.500000,-91.700000,90.000000,bottom
C25,10pF,C_0201_0603Metric,124.974552,-91.572800,90.000000,bottom
C26,0.1uF,C_0402_1005Metric,133.800000,-88.500000,90.000000,bottom
C27,4.7uF,C_0402_1005Metric,137.500000,-87.500000,180.000000,bottom
C28,10uF,C_0402_1005Metric,127.999552,-92.102800,90.000000,bottom
C29,10uF,C_0402_1005Metric,127.774552,-90.137800,270.000000,bottom
C31,0.1uF,C_0402_1005Metric,144.224552,-91.927800,90.000000,bottom
C32,0.1uF,C_0402_1005Metric,140.624552,-91.652800,0.000000,bottom
C33,0.1uF,C_0402_1005Metric,135.600000,-89.500000,180.000000,bottom
C35,0.1uF,C_0402_1005Metric,127.999552,-94.052800,90.000000,bottom
C65,0.1uF,C_0402_1005Metric,142.842812,-92.607890,0.000000,bottom
C79,1uF,C_0402_1005Metric,129.900000,-93.500000,0.000000,bottom
C80,1uF,C_0402_1005Metric,127.000000,-88.100000,0.000000,bottom
C81,1uF,C_0402_1005Metric,135.500000,-85.300000,90.000000,bottom
