Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,2.2uF,C_0603_1608Metric,52.499598,-20.25,270.0,bottom
C1,2.2uF,C_0603_1608Metric,11.900494,-50.75,90.0,bottom
C1,2.2uF,C_0603_1608Metric,34.100494,-50.75,90.0,bottom
C1,2.2uF,C_0603_1608Metric,30.299598,-20.25,270.0,bottom
C1,2.2uF,C_0603_1608Metric,74.699598,-20.25,270.0,bottom
C1,2.2uF,C_0603_1608Metric,56.300494,-50.75,90.0,bottom
C10,0.1uF,C_0402_1005Metric,52.888438,-61.55,180.0,bottom
C10,0.1uF,C_0402_1005Metric,33.711654,-9.45,0.0,bottom
C10,0.1uF,C_0402_1005Metric,11.511654,-9.45,0.0,bottom
C10,0.1uF,C_0402_1005Metric,30.688438,-61.55,180.0,bottom
C10,0.1uF,C_0402_1005Metric,75.088438,-61.55,180.0,bottom
C10,0.1uF,C_0402_1005Metric,55.911654,-9.45,0.0,bottom
C11,0.1uF,C_0402_1005Metric,61.600494,-56.05,90.0,bottom
C11,0.1uF,C_0402_1005Metric,69.399598,-14.95,270.0,bottom
C11,0.1uF,C_0402_1005Metric,47.199598,-14.95,270.0,bottom
C11,0.1uF,C_0402_1005Metric,17.200494,-56.05,90.0,bottom
C11,0.1uF,C_0402_1005Metric,39.400494,-56.05,90.0,bottom
C11,0.1uF,C_0402_1005Metric,24.999598,-14.95,270.0,bottom
C12,0.1uF,C_0402_1005Metric,66.000046,-57.472748,180.0,bottom
C12,0.1uF,C_0402_1005Metric,21.600046,-57.472748,180.0,bottom
C12,0.1uF,C_0402_1005Metric,65.000046,-13.527252,0.0,bottom
C12,0.1uF,C_0402_1005Metric,42.800046,-13.527252,0.0,bottom
C12,0.1uF,C_0402_1005Metric,43.800046,-57.472748,180.0,bottom
C12,0.1uF,C_0402_1005Metric,20.600046,-13.527252,0.0,bottom
C13,1uF,C_0402_1005Metric,46.799598,-10.85,270.0,bottom
C13,1uF,C_0402_1005Metric,39.800494,-60.15,90.0,bottom
C13,1uF,C_0402_1005Metric,24.599598,-10.85,270.0,bottom
C13,1uF,C_0402_1005Metric,68.999598,-10.85,270.0,bottom
C13,1uF,C_0402_1005Metric,62.000494,-60.15,90.0,bottom
C13,1uF,C_0402_1005Metric,17.600494,-60.15,90.0,bottom
C14,0.1uF,C_0402_1005Metric,46.799598,-9.45,0.0,bottom
C14,0.1uF,C_0402_1005Metric,17.600494,-61.55,180.0,bottom
C14,0.1uF,C_0402_1005Metric,68.999598,-9.45,0.0,bottom
C14,0.1uF,C_0402_1005Metric,24.599598,-9.45,0.0,bottom
C14,0.1uF,C_0402_1005Metric,39.800494,-61.55,180.0,bottom
C14,0.1uF,C_0402_1005Metric,62.000494,-61.55,180.0,bottom
C15,0.1uF,C_0402_1005Metric,65.300494,-60.55,180.0,bottom
C15,0.1uF,C_0402_1005Metric,21.299598,-10.45,0.0,bottom
C15,0.1uF,C_0402_1005Metric,65.699598,-10.45,0.0,bottom
C15,0.1uF,C_0402_1005Metric,43.100494,-60.55,180.0,bottom
C15,0.1uF,C_0402_1005Metric,20.900494,-60.55,180.0,bottom
C15,0.1uF,C_0402_1005Metric,43.499598,-10.45,0.0,bottom
C16,1uF,C_0402_1005Metric,59.900494,-58.05,90.0,bottom
C16,1uF,C_0402_1005Metric,37.700494,-58.05,90.0,bottom
C16,1uF,C_0402_1005Metric,15.500494,-58.05,90.0,bottom
C16,1uF,C_0402_1005Metric,26.699598,-12.95,270.0,bottom
C16,1uF,C_0402_1005Metric,48.899598,-12.95,270.0,bottom
C16,1uF,C_0402_1005Metric,71.099598,-12.95,270.0,bottom
C17,1uF,C_0402_1005Metric,62.000494,-57.95,270.0,bottom
C17,1uF,C_0402_1005Metric,39.800494,-57.95,270.0,bottom
C17,1uF,C_0402_1005Metric,17.600494,-57.95,270.0,bottom
C17,1uF,C_0402_1005Metric,24.599598,-13.05,90.0,bottom
C17,1uF,C_0402_1005Metric,46.799598,-13.05,90.0,bottom
C17,1uF,C_0402_1005Metric,68.999598,-13.05,90.0,bottom
C18,1uF,C_0402_1005Metric,19.800494,-61.55,0.0,bottom
C18,1uF,C_0402_1005Metric,22.399598,-9.45,180.0,bottom
